Province,year,gdpr_billion_idr,gdpr_percap_thousand_idr,population,gen_gwh,dist_gwh,gWh_cons_percap,capacity_mw,Region
ACEH,2011,104874.21,22704.8,4619032.5393749345,794.16,1579.77,342.01317841631413,159.26,SUMATERA
SUMATERA UTARA,2011,353147.59,26711.24,13220935.830758886,15342.39,7194.03,544.1392418880729,2450.67,SUMATERA
SUMATERA BARAT,2011,111679.49,22638.75,4933112.031362155,287.05,2403.1,487.1367170910254,33.45,SUMATERA
RIAU,2011,410215.84,71637.89,5726241.239098472,742.9,2361.15,412.338548344452,111.23,SUMATERA
JAMBI,2011,97740.87,30856.66,3167577.761170522,18.7,1054.17,332.8000382255653,12.82,SUMATERA
SUMATERA SELATAN,2011,206360.7,27157.98,7598529.051129723,11869.97,2978.86,392.03113917911696,2380.92,SUMATERA
BENGKULU,2011,30295.05,17282.27,1752955.4855930384,84.2,493.95,281.7812568885016,23.24,SUMATERA
LAMPUNG,2011,160437.5,20739.31,7735913.104148595,271.57,2425.94,313.5945256028048,4.3,SUMATERA
KEP. BANGKA BELITUNG,2011,38013.99,30212.18,1258233.9308186301,605.14,535.61,425.6839581901295,91.78,SUMATERA
KEP. RIAU,2011,118961.42,68024.21,1748810.0192563792,2155.14,2010.3,1149.5245211682916,301.47,SUMATERA
DKI JAKARTA,2011,1147558.23,117672.92,9752101.248103643,3566.51,35061.38,3595.2641495408907,1093,JAVA
JAWA BARAT,2011,965622.06,21976.53,43938786.51452254,16089.53,34053.6,775.0236795625817,3217.8,JAVA
JAWA TENGAH,2011,656268.13,20053.8,32725375.24060278,28144.95,15315.89,468.0126625713182,6509.12,JAVA
DI YOGYAKARTA,2011,68049.87,19387.45,3509995.8994091535,0,1869.77,532.6986280282388,0.32,JAVA
JAWA TIMUR,2011,1054401.77,27864.26,37840652.1472309,51798.98,24018.69,634.7324540430162,9620.62,JAVA
BANTEN,2011,290545.84,26548.94,10943783.066291913,39459.85,7955.54,726.9460616872022,6773.53,JAVA
BALI,2011,99991.63,25265.96,3957563.0611304697,573.6,3223.94,814.6275751520402,3.84,NUSA TENGGARA
NUSA TENGGARA BARAT,2011,67379.14,14705.77,4581816.525078251,958.37,837.17,182.715740671371,146,NUSA TENGGARA
NUSA TENGGARA TIMUR,2011,46334.13,9675.89,4788616.861084614,531.9,486.91,101.68071786175761,145.75,NUSA TENGGARA
KALIMANTAN BARAT,2011,90797.59,20227.16,4488894.634738639,1662.91,1434.72,319.6154324712803,230.51,KALIMANTAN
KALIMANTAN TENGAH,2011,60492.93,26588.9,2275119.69280414,554.12,649.95,285.6772775760738,89.05,KALIMANTAN
KALIMANTAN SELATAN,2011,91252.13,24567.52,3714340.3159944513,2063.97,1467.13,394.99073191606595,306.82,KALIMANTAN
KALIMANTAN TIMUR,2011,445264.42,121196.23,3673913.124195365,2560.09,2277.22,619.8350159678153,381.28,KALIMANTAN
KALIMANTAN UTARA,2011,0,0,NA,168.83,0,NA,31.22,KALIMANTAN
SULAWESI UTARA,2011,54910.9,23812.97,2305924.0405543703,1185.8,986.62,427.8631831093644,202.06,SULAWESI
SULAWESI TENGAH,2011,56833.83,21105.7,2692819.001501964,731.49,574.71,213.42318205547647,175.73,SULAWESI
SULAWESI SELATAN,2011,185708.47,22769.19,8156129.84036762,3848.83,3246.42,398.03436967522265,625.96,SULAWESI
SULAWESI TENGGARA,2011,53546.69,23338.07,2294392.3812037585,499.1,441.08,192.24261883601022,91.3,SULAWESI
GORONTALO,2011,16669.09,15687.65,1062561.314154765,251.45,236.52,222.5942134813598,33.2,SULAWESI
SULAWESI BARAT,2011,19027.5,16023.45,1187478.3520402908,9.25,151.52,127.59811556957037,6.49,SULAWESI
MALUKU,2011,19597.39,12477.19,1570657.335505831,471.33,336.69,214.36247893724624,134.65,MALUKU
MALUKU UTARA,2011,16002.45,14994.63,1067212.0619181667,156.85,204.67,191.7800663085965,62.04,MALUKU
PAPUA BARAT,2011,42867.19,54539.86,785979.0985895453,337.94,305.08,388.15281544696535,55.67,PAPUA
PAPUA,2011,106066.72,36383.24,2915263.1816187897,600.44,522.8,179.33200792859432,91.64,PAPUA
INDONESIA,2011,7286914.79,30112.37,241990743.00694367,188397.3,158694.89,655.7890935334101,35596.74,NATIONAL
ACEH,2012,108914.9,23099.13,4715108.31793232,534.8,1755.06,372.2205051632055,156.93,SUMATERA
ACEH,2013,111755.83,23228.59,4811132.746326832,522.89,1815.04,377.25834968609695,128.54,SUMATERA
ACEH,2014,113490.36,23129.04,4906834.0060806675,582.06,1965.55,400.5739744943976,201.25,SUMATERA
SUMATERA UTARA,2012,375924.14,28036.88,13408201.625858512,16402.98,7809.32,582.4285924325052,3501.67,SUMATERA
SUMATERA UTARA,2013,398727.14,29339.21,13590247.999179255,17459.73,7917.24,582.567735370108,3625.32,SUMATERA
SUMATERA UTARA,2014,419573.31,30477.07,13766851.931632536,18028.3,8271.01,600.7916727131666,4116.45,SUMATERA
SUMATERA BARAT,2012,118724.42,23744.01,5000184.046418444,169.73,2649.08,529.7964985703868,32.93,SUMATERA
SUMATERA BARAT,2013,125940.63,24857.64,5066475.7394507285,185.73,2712.85,535.4510984580592,32.91,SUMATERA
SUMATERA BARAT,2014,133340.84,25982.83,5131882.862644292,179.47,3005.26,585.6057280410113,72.67,SUMATERA
RIAU,2012,425626,72396.34,5879109.3582907645,634.56,2723.81,463.303169579396,157.67,SUMATERA
RIAU,2013,436187.51,72297.05,6033268.439030361,811.3,3597.44,596.267186907759,175.48,SUMATERA
RIAU,2014,447986.78,72390.88,6188442.245763554,892.63,3338.33,539.4459328250714,172.62,SUMATERA
JAMBI,2012,104615.08,32417.72,3227095.5514453207,108.15,860.39,266.61435531856404,51.38,SUMATERA
JAMBI,2013,111766.13,34012.1,3286069.663443304,137.62,955.66,290.82158866912545,50.06,SUMATERA
JAMBI,2014,119991.44,35878.09,3344421.065892861,127.89,1037.45,310.2031650799424,51.54,SUMATERA
SUMATERA SELATAN,2012,220459.2,28577.89,7714327.4048573915,14033.65,3863.12,500.77210847540044,2540.13,SUMATERA
SUMATERA SELATAN,2013,232175.05,29656.76,7828739.552129094,14639.61,4162.09,531.6424147573134,2663.26,SUMATERA
SUMATERA SELATAN,2014,243297.77,30636.27,7941494.5096122995,15738.07,4477.49,563.8094938654801,3018.06,SUMATERA
BENGKULU,2012,32363.04,18143.51,1783725.420274247,88.63,566.95,317.84600564409277,24.04,SUMATERA
BENGKULU,2013,34326.37,18919.3,1814357.2965173132,75.25,641.52,353.57975037849906,24.04,SUMATERA
BENGKULU,2014,36207.15,19626.72,1844788.6350852307,81.04,729.64,395.5141451564125,43.54,SUMATERA
LAMPUNG,2012,170769.21,21794.83,7835308.190061587,41.53,2793.36,356.50926960896527,124.79,SUMATERA
LAMPUNG,2013,180620.01,22770.68,7932130.704924052,40.56,3182.21,401.179723125915,124.79,SUMATERA
LAMPUNG,2014,189797.49,23647.27,8026190.338250462,40.59,3392.44,422.67126208465663,121.21,SUMATERA
KEP. BANGKA BELITUNG,2012,40104.91,31172.42,1286551.0602000102,744.45,664.72,516.6681840802037,111.46,SUMATERA
KEP. BANGKA BELITUNG,2013,42190.86,32081.3,1315123.140271747,802.32,721.24,548.4201272977133,106.46,SUMATERA
KEP. BANGKA BELITUNG,2014,44159.44,32859.64,1343880.8215792992,927.95,805.43,599.3314191756054,234.71,SUMATERA
KEP. RIAU,2012,128034.97,70930,1805089.1019314819,2345.35,2190.04,1213.258668315383,371.43,SUMATERA
KEP. RIAU,2013,137263.85,73743.33,1861373.0896068837,2166.16,2421.92,1301.1469938632788,381.21,SUMATERA
KEP. RIAU,2014,146325.23,76313.81,1917414.8165318964,3530.02,2618.48,1365.630419366503,736.48,SUMATERA
DKI JAKARTA,2012,1222527.92,123962.38,9862088.159327047,5526.4,38168.75,3870.250334753091,1448.49,JAVA
DKI JAKARTA,2013,1296694.57,130060.31,9969948.326280324,5433.79,39937.28,4005.7659972747474,1448,JAVA
DKI JAKARTA,2014,1373389.13,136312.34,10075310.349745298,4115.58,41269.03,4096.055463050156,1348,JAVA
JAWA BARAT,2012,1028409.74,23036,44643590.03299184,17378.85,36655.28,821.0647927935804,4013.05,JAVA
JAWA BARAT,2013,1093543.55,24118.31,45340803.3149918,21615.84,39092.56,862.193810912789,3998.74,JAVA
JAWA BARAT,2014,1149216.06,24966.86,46029659.31638981,20849.37,43096.46,936.2758847240614,4076.66,JAVA
JAWA TENGAH,2012,691343.12,20950.62,32998695.026686564,27271.44,16600.42,503.062923748196,5168.49,JAVA
JAWA TENGAH,2013,726655.12,21844.87,33264337.118966606,27916.22,18205.08,547.2852182471377,5153.86,JAVA
JAWA TENGAH,2014,764959.15,22819.16,33522669.107890036,27133.45,19631.46,585.6174499953363,5154.85,JAVA
DI YOGYAKARTA,2012,71702.45,20183.88,3552461.1719847717,0,2043.75,575.3053731078925,0.32,JAVA
DI YOGYAKARTA,2013,75627.45,21037.7,3594853.5248625088,0,2205.79,613.596627719168,0.32,JAVA
DI YOGYAKARTA,2014,79536.08,21867.9,3637115.5895170546,0,2369.6,651.505277101914,0.32,JAVA
JAWA TIMUR,2012,1124464.64,29508.4,38106594.7323474,51753.79,26910.18,706.1817039546926,11595.42,JAVA
JAWA TIMUR,2013,1192789.8,31092.04,38363188.777577795,54548.64,28708.11,748.3243941593063,11547.76,JAVA
JAWA TIMUR,2014,1262684.5,32703.39,38610202.18393262,56631.27,30523.98,790.5677327093189,14668.05,JAVA
BANTEN,2012,310385.59,27716.47,11198597.440438842,46317.37,8457.8,755.2552937976277,11323.54,JAVA
BANTEN,2013,331099.11,28910.66,11452492.264099125,52860.36,9750.37,851.3753840781994,11703.54,JAVA
BANTEN,2014,349351.23,29846.64,11704876.32778765,63695.13,8562.97,731.5728727241062,12873.34,JAVA
BALI,2012,106951.46,26689.58,4007236.5320098703,1951.83,3546.6,885.0488289547427,453.87,NUSA TENGGARA
BALI,2013,114103.58,28129.67,4056342.6446168763,2271.2,3914.32,964.987512875582,454.02,NUSA TENGGARA
BALI,2014,121787.57,29668.9,4104889.968957393,2374.48,4335.03,1056.06484772625,441.89,NUSA TENGGARA
NUSA TENGGARA BARAT,2012,66340.81,14276.69,4646792.078556024,1118.46,976.39,210.12130164072462,172.7,NUSA TENGGARA
NUSA TENGGARA BARAT,2013,69766.71,14809.84,4710834.823333675,1311.72,1133.33,240.57943920818397,170.04,NUSA TENGGARA
