"...1","...2"
"2011","2012"
"794,16","534,80"
"15 342,39","16 402,98"
"287,05","169,73"
"742,90","634,56"
"18,70","108,15"
"11 869,97","14 033,65"
"84,20","88,63"
"271,57","41,53"
"605,14","744,45"
"2 155,14","2 345,35"
"3 566,51","5 526,40"
"16 089,53","17 378,85"
"28 144,95","27 271,44"
"-","-"
"51 798,98","51 753,79"
"39 459,85","46 317,37"
"573,60","1 951,83"
"958,37","1 118,46"
"531,90","643,87"
"1 662,91","1 852,69"
"554,12","611,26"
"2 063,97","2 331,42"
"2 560,09","2 675,06"
"168,83","164,44"
"1 185,80","1 841,21"
"731,49","803,14"
"3 848,83","4 237,42"
"499,10","629,22"
"251,45","209,48"
"9,25","7,68"
"471,33","608,88"
"156,85","107,89"
"337,94","381,04"
"600,44","678,74"
"188 397,30","204 205,42"
