"...1","...2","...3"
"2013","2014","2015"
"522,89","582,06","618,26"
"17 459,73","18 028,30","18 876,59"
"185,73","179,47","182,69"
"811,30","892,63","969,73"
"137,62","127,89","134,31"
"14 639,61","15 738,07","16 431,48"
"75,25","81,04","82,87"
"40,56","40,59","40,55"
"802,32","927,95","939,41"
"2 166,16","3 530,02","2 830,82"
"5 433,79","4 115,58","3 408,60"
"21 615,84","20 849,37","20 617,92"
"27 916,22","27 133,45","25 690,27"
"-","-","-"
"54 548,64","56 631,27","52 624,96"
"52 860,36","63 695,13","70 279,07"
"2 271,20","2 374,48","1 919,80"
"1 311,72","1 476,01","1 558,03"
"717,66","730,93","820,20"
"2 116,47","2 225,89","2 340,32"
"615,20","602,42","556,67"
"2 690,52","3 124,21","3 314,14"
"3 636,90","3 063,27","2 450,57"
"162,31","206,06","70,48"
"1 863,31","1 916,15","1 959,76"
"916,27","1 768,15","1 580,22"
"4 233,85","5 254,27","5 978,87"
"236,83","273,37","846,29"
"174,99","233,59","291,12"
"7,42","18,01","18,90"
"524,93","751,90","781,38"
"245,01","138,50","170,35"
"415,60","324,34","447,95"
"850,71","974,65","917,48"
"22 206,93","238 019,10","239 750,07"
