nn_proj_dataset.year,actual_value_1,predict_value_1,error_percent_1
2019,289000,140594.89893408617,-51.3512460435688
2020,315000,150897.59047942204,-52.096003022405704
2021,355000,161975.03349881052,-54.37323000033507
2022,375000,166116.9501288766,-55.70214663229957
2023,399000,171945.68692036337,-56.90584287710191
2024,429000,177463.12765659433,-58.63330357655144
2025,460000,180548.4383488625,-60.75033948937772
2026,499000,196643.36737134113,-60.59251154882944
2027,543000,201356.36020948744,-62.91779738315149
2028,573000,204913.27034273633,-64.23852175519436
2029,606000,209784.92314522364,-65.38202588362645
2030,639000,214657.32129066586,-66.40730496233711
2031,678000,220424.41435916457,-67.48902443080169
2032,719000,225128.43396106837,-68.68867399706976
2033,760000,229689.61800574596,-69.77768184134922
2034,807000,234038.51317466103,-70.99894508368514
2035,855000,238121.0707174141,-72.14958237223227
2036,908000,242416.35809462465,-73.30216320543781
2037,963000,245842.73906980193,-74.47115897509843
2038,1026000,249317.36077723047,-75.70006230241418
